Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Vendor,Part Name,digikeypn,Manufacturer,Comments,Field4,Field6,Field5
37,"Resistor, small symbol",R_Small,R_COMP_1 R_COMP_2 R_COMP_3 R_COMP_4 R_COMP_5 R_COMP_6 R_COMP_7 R_COMP_9 R_COMP_10 R_COMP_11 R_ESP_1 R_ESP_4 R_J1850_1 R_J1850_5 R_J1850_7 R_J1850_8 R_STN_11 R_VS_2,10k,RESC1608X55N,18,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,DigiKey Canada,RT0603FRE0710KL,YAG2321CT-ND,Yageo,,,,
38,"Resistor, small symbol",R_Small,R_VS_1,62k,RESC2012X60N,1,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,DigiKey Canada,RT0805FRE0762KL,13-RT0805FRE0762KLCT-ND,Yageo,,,,
39,"Resistor, small symbol",R_Small,R_HSCAN_1 R_PS_1 R_PS_2 R_STN_5 R_STN_6 R_STN_9 R_STN_13 R_VR2_1 R_VR2_2,100k,RESC1608X55N,9,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,DigiKey Canada,RT0603DRE07100KL,311-2395-1-ND,Yageo,,,,
40,"Resistor, small symbol",R_Small,R_VR2_3,115k,RESC1608X55N,1,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf,DigiKey Canada,RT0402DRE07115KL,311-2218-1-ND,Yageo,,,,
41,"Resistor, small symbol",R_Small,R_ISO_3 R_ISO_4,510k,RESC2012X50N,2,https://www.susumu.co.jp/common/pdf/n_catalog_partition05_en.pdf,DigiKey Canada,RR1220P-514-D,RR12P510KDCT-ND,Susumu,,,,
42,,PTS647SK38SMTR2LFS,SW_ESP_1 SW_ESP_2 SW_STN_1,PTS647SK38SMTR2LFS,PTS647SK38SMTR2LFS,3,https://www.ckswitches.com/media/2567/pts647.pdf,DigiKey Canada,PTS 647 SK38 SMTR2 LFS,PTS647SK38SMTR2LFSCT-ND,C&K,,,,
43,,AHDF15A-KG-TAXB,U_CN_1,AHDF15A-KG-TAXB,AHDF15A-KG-TAXB,1,http://www.assmann-wsw.com/fileadmin/datasheets/AHDxxxA-KG-TAxB.pdf,DigiKey Canada,AHDF15A-KG-TAXB,AE11024-ND,Assmann WSW Components,,,,
44,"RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",ESP32-WROOM-32D,U_ESP_1,ESP32-WROOM-32D,CANtech-ESP32-WROOM-32,1,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,DigiKey Canada,USB4110-GF-A,1965-ESP32-WROOM-32D(4MB)CT-ND,Espressif Systems,,,,
45,,LM317LDR2G,U_J1850_1,LM317LDR2G,SOIC127P600X175-8N,1,https://www.onsemi.com/pub/Collateral/LM317L-D.PDF,DigiKey Canada,LM317LDR2G,LM317LDR2GOSCT-ND,ON Semiconductor,,,,
46,,LM339N_NOPB,U_COMP_1,LM339N_NOPB,LM339N&slash_NOPB,1,https://www.ti.com/lit/ds/symlink/lm339-n.pdf?ts=1603731355059,DigiKey Canada,LM339N_NOPB,296-39010-5-ND,Texas Instruments,,,,
47,,LSM6DSMTR,U_IMU_1,LSM6DSMTR,PQFN50P300X250X86-14N,1,https://www.st.com/content/ccc/resource/technical/document/datasheet/76/27/cf/88/c5/03/42/6b/DM00218116.pdf/files/DM00218116.pdf/jcr:content/translations/en.DM00218116.pdf,DigiKey Canada,LSM6DSMTR,497-16696-1-ND,STMicroelectronics,,0.86 mm,IPC 7351B,Rev 7
48,,MAX25276ATCA_VY+,U_VR1 U_VR2,MAX25276ATCA_VY+,MAX25276ATCA&slash_VY&plus_,2,https://datasheets.maximintegrated.com/en/ds/MAX20075-MAX25276.pdf,DigiKey Canada,MAX25276ATCA/VY+,175-MAX25276ATCA/VY+-ND,Maxim Integrated,,,,
49,,MCP2562-H_MF,U_HSCAN_1,MCP2562-H_MF,MCP2562-H&slash_MF,1,https://ww1.microchip.com/downloads/en/DeviceDoc/20005167C.pdf,DigiKey Canada,MCP2562-H_MF,MCP2562-H/MF-ND,Microchip Technology,,,,
50,OBDII-to-UART Interpreter,STN2120,U_STN_1,STN2120,CANtech-STN2120-QFN-44-1EP_8x8mm,1,https://www.scantool.net/scantool/downloads/206/stn21xx_ds_c.pdf,OBD Solutions,STN2120,,OBD Solutions,,,,
51,,ECS-2033-160-AU,Y_STN_1,ECS-2033-160-AU (16MHz),OSC_ECS-2033-160-AU,1,https://ecsxtal.com/store/pdf/ecs-2025-2033.pdf,DigiKey Canada,ECS-2033-160-AU (16MHz),XC1858CT-ND,ECS Inc.,,11/15/13,,Manufacturer Recommendations





Component Groups:,51
Component Count:,131
Fitted Components:,131
Number of PCBs:,1
Total components:,131
Schematic Version:,0.0.05
Schematic Date:,2020-11-29
PCB Variant:,[u'default']
BoM Date:,11/29/20 23:53:44
Schematic Source:,Reader.sch
KiCad Version:,Eeschema (5.1.7)-1
